iter	AUC	Logloss
0	0.6338569812	0.6768199791
1	0.66893713	0.6610113096
2	0.6734057965	0.6467784291
3	0.6754057992	0.6335718147
4	0.6796159775	0.6211340585
5	0.6780750668	0.6096796083
6	0.6830821559	0.5988312182
7	0.6834198521	0.588648537
8	0.6847631512	0.5792049076
9	0.6837469478	0.5705754657
10	0.6847980065	0.5622346178
11	0.6888154752	0.5543226306
12	0.6892225857	0.5470023768
