iter	Passed	Remaining
0	201	152414
1	391	148112
2	577	145608
3	759	143446
4	937	141324
5	1128	141575
6	1311	140940
7	1479	138867
8	1653	137820
9	1825	136729
10	1975	134305
11	2159	134436
12	2340	134317
13	2598	138290
14	2820	139893
15	3003	139494
16	3198	139586
17	3390	139575
18	3564	138816
19	3751	138611
20	3929	138095
21	4123	138129
22	4320	138266
23	4512	138209
24	4717	138498
25	4926	138884
26	5116	138724
27	5335	139290
28	5588	140671
29	5836	141838
30	6023	141452
31	6166	140104
32	6166	140104
33	12123	266354
34	12256	260999
35	46261	955637
36	55886	1120838
37	72408	1410978
38	73143	1385876
39	73796	1360508
40	74647	1339916
41	75271	1316329
42	75667	1289951
43	76039	1264377
44	76361	1239139
45	76691	1215126
46	77036	1192394
47	77363	1170327
48	77685	1149094
49	78048	1129312
50	78478	1111248
51	78743	1091607
52	79073	1073573
53	79477	1057197
54	79758	1039811
55	80155	1024530
56	80437	1008339
57	80735	992904
58	81145	979343
59	81446	964930
60	81747	950998
61	82028	937279
62	82346	924405
63	82642	911686
64	82938	899359
65	83260	887680
66	83553	876043
67	83848	864770
68	84169	854075
69	84457	843351
70	84694	832424
71	85005	822519
72	85400	813678
73	85739	804543
74	86105	795893
75	86445	787233
76	86786	778790
77	87111	770423
78	87476	762618
79	87774	754418
80	88075	746442
81	88376	738655
82	88682	731087
83	88984	723672
84	89583	718800
85	89988	712500
86	90401	706394
87	90728	699760
88	91153	694012
89	91466	687539
90	91792	681301
91	92181	675659
92	92649	670701
93	92992	664948
94	93402	659777
95	93691	653867
96	94004	648237
97	94343	642897
98	94685	637680
99	95069	632836
100	95366	627514
101	95644	622163
102	95951	617098
103	96219	611881
104	96610	607530
105	96858	602366
106	97179	597744
107	97488	593131
108	97692	587964
109	97882	582802
110	98097	577882
111	98317	573074
112	98585	568629
113	98845	564208
114	99138	560045
115	99411	555839
116	99709	551838
117	99981	547764
118	100307	544039
119	100530	539821
120	100730	535549
121	100841	530875
122	101011	526582
123	101166	522282
124	101374	518316
125	101548	514242
126	101884	511038
127	102174	507656
128	102429	504142
129	102650	500521
130	102806	496634
131	102925	492627
132	103045	488686
133	103286	485367
134	103415	481575
135	103557	477900
136	103794	474709
137	104036	471580
138	104207	468176
139	104368	464778
140	104576	461631
141	104788	458541
142	105061	455761
143	105226	452549
144	105441	449589
145	105629	446555
146	105782	443418
147	105982	440512
148	106161	437556
149	106386	434828
150	106615	432146
151	106844	429498
152	107057	426821
153	107359	424526
154	107694	422387
155	107973	420050
156	108235	417676
157	108506	415366
158	108720	412862
159	108925	410353
160	109163	407996
161	109423	405748
162	109687	403542
163	109884	401113
164	110091	398744
165	110334	396534
166	110513	394121
167	110709	391791
168	110917	389531
169	111134	387326
170	111417	385372
171	111620	383163
172	111831	381005
173	112021	378801
174	112197	376569
175	112381	374391
176	112496	372005
177	112611	369644
178	112726	367309
179	112860	365061
180	112973	362771
181	113128	360635
182	113253	358428
183	113403	356323
184	113562	354266
185	113712	352200
186	113904	350288
187	114089	348370
188	114282	346494
189	114466	344611
190	114646	342733
191	114829	340882
192	115062	339195
193	115243	337369
194	115387	335457
195	115574	333684
196	115729	331837
197	115908	330073
198	116086	328326
199	116257	326573
200	116436	324857
201	116628	323194
202	116814	321530
203	117016	319920
204	117187	318244
205	117367	316605
206	117560	315017
207	117744	313416
208	117918	311804
209	118125	310290
210	118309	308730
211	118494	307186
212	118685	305670
213	118833	304057
214	118995	302493
215	119218	301095
216	119385	299570
217	119555	298063
218	119729	296577
219	119904	295107
220	120103	293708
221	120383	292516
222	120656	291314
223	120963	290204
224	121167	288855
225	121365	287501
226	121538	286098
227	121725	284741
228	121923	283417
229	122106	282070
230	122308	280777
231	122489	279445
232	122667	278117
233	122862	276836
234	123047	275542
235	123260	274321
236	123453	273062
237	123623	271762
238	123806	270501
239	123987	269245
240	124175	268011
241	124363	266787
242	124565	265601
243	124727	264339
244	124901	263112
245	125131	262009
246	125285	260756
247	125538	259718
248	125745	258589
249	125929	257422
250	126109	256255
251	126361	255240
252	126613	254232
253	126819	253138
254	127020	252041
255	127227	250963
256	127434	249890
257	127631	248807
258	127832	247736
259	128056	246719
260	128231	245611
261	128416	244533
262	128604	243465
263	128804	242427
264	128983	241355
265	129162	240291
266	129377	239299
267	129607	238341
268	129816	237351
269	129999	236317
270	130177	235283
271	130382	234303
272	130555	233271
273	130746	232278
274	130998	231398
275	131111	230279
276	131234	229185
277	131433	228229
278	131611	227242
279	131803	226285
280	131952	225262
281	132125	224283
282	132337	223378
283	132579	222526
284	132796	221639
285	132991	220719
286	133190	219810
287	133357	218855
288	133539	217928
289	133834	217191
290	134075	216370
291	134297	215522
292	134471	214601
293	134684	213747
294	134880	212872
295	135089	212021
296	135311	211195
297	135516	210346
298	135736	209525
299	135925	208660
300	136117	207805
301	136296	206934
302	136468	206059
303	136668	205228
304	136848	204372
305	137003	203484
306	137205	202669
307	137400	201848
308	137585	201017
309	137795	200226
310	137987	199413
311	138215	198656
312	138415	197863
313	138613	197070
314	138820	196294
315	139025	195517
316	139208	194716
317	139426	193965
318	139621	193186
319	139827	192426
320	140006	191633
321	140180	190837
322	140393	190098
323	140575	189319
324	140763	188553
325	140961	187803
326	141149	187044
327	141338	186290
328	141551	185571
329	141783	184879
330	142045	184228
331	142235	183488
332	142411	182732
333	142602	182000
334	142789	181266
335	142988	180549
336	143174	179820
337	143387	179127
338	143633	178479
339	143820	177760
340	143998	177033
341	144185	176321
342	144367	175605
343	144583	174933
344	144776	174236
345	144934	173501
346	145128	172811
347	145363	172174
348	145557	171490
349	145777	170839
350	145969	170158
351	146163	169483
352	146361	168814
353	146522	168106
354	146751	167479
355	146948	166817
356	147138	166150
357	147333	165492
358	147625	164944
359	147844	164317
360	148090	163722
361	148268	163053
362	148440	162382
363	148629	161731
364	148819	161084
365	148995	160425
366	149108	159700
367	149222	158980
368	149363	158293
369	149523	157627
370	149712	156995
371	149920	156386
372	150110	155759
373	150355	155192
374	150536	154561
375	150738	153954
376	150973	153382
377	151181	152785
378	151344	152145
379	151545	151545
380	151730	150932
381	151925	150330
382	152116	149727
383	152305	149124
384	152558	148585
385	152828	148065
386	153060	147508
387	153241	146906
388	153421	146303
389	153607	145710
390	153794	145118
391	153973	144522
392	154166	143941
393	154310	143316
394	154493	142730
395	154676	142146
396	154851	141556
397	155026	140968
398	155249	140426
399	155439	139856
400	155621	139281
401	155813	138717
402	155952	138106
403	156128	137532
404	156324	136977
405	156501	136407
406	156690	135849
407	156874	135289
408	157060	134733
409	157242	134175
410	157426	133620
411	157578	133040
412	157779	132504
413	157963	131954
414	158135	131397
415	158313	130847
416	158494	130300
417	158674	129755
418	158935	129278
419	159122	128741
420	159273	128177
421	159464	127647
422	159638	127105
423	159850	126595
424	160042	126071
425	160211	125530
426	160367	124981
427	160566	124467
428	160759	123949
429	160939	123424
430	161087	122876
431	161259	122347
432	161443	121829
433	161634	121319
434	161827	120811
435	162060	120334
436	162252	119828
437	162431	119314
438	162623	118811
439	162807	118304
440	162975	117786
441	163164	117285
442	163327	116767
443	163497	116256
444	163712	115778
445	163896	115279
446	164068	114774
447	164265	114287
448	164459	113800
449	164655	113315
450	164841	112824
451	165023	112333
452	165228	111857
453	165409	111368
454	165612	110894
455	165848	110444
456	166016	109949
457	166211	109474
458	166394	108991
459	166577	108511
460	166776	108042
461	166950	107557
462	167135	107082
463	167332	106615
464	167516	106141
465	167696	105666
466	167893	105203
467	168052	104717
468	168236	104249
469	168428	103786
470	168608	103317
471	168799	102856
472	169016	102412
473	169182	101938
474	169348	101466
475	169532	101005
476	169718	100547
477	169894	100084
478	170089	99633
479	170275	99179
480	170475	98733
481	170680	98292
482	170857	97835
483	171050	97388
484	171233	96937
485	171399	96478
486	171594	96036
487	171780	95590
488	171954	95138
489	172149	94699
490	172324	94250
491	172494	93800
492	172673	93356
493	172844	92908
494	173026	92467
495	173235	92042
496	173422	91606
497	173605	91168
498	173799	90738
499	173980	90302
500	174165	89869
501	174352	89438
502	174533	89005
503	174732	88581
504	174915	88152
505	175115	87731
506	175308	87307
507	175513	86891
508	175712	86472
509	175925	86061
510	176107	85636
511	176303	85219
512	176499	84802
513	176676	84377
514	176865	83959
515	177043	83536
516	177222	83115
517	177424	82706
518	177589	82280
519	177782	81868
520	178011	81474
521	178226	81074
522	178415	80663
523	178619	80259
524	178793	79842
525	178947	79418
526	179123	79004
527	179279	78583
528	179479	78182
529	179632	77761
530	179812	77353
531	179990	76945
532	180169	76538
533	180354	76134
534	180550	75736
535	180726	75330
536	180910	74929
537	181087	74525
538	181274	74127
539	181448	73723
540	181675	73342
541	181850	72942
542	182020	72539
543	182211	72146
544	182392	71750
545	182572	71354
546	182771	70966
547	182947	70570
548	183111	70170
549	183304	69782
550	183487	69391
551	183667	69000
552	183856	68613
553	184030	68221
554	184196	67826
555	184386	67442
556	184562	67053
557	184783	66681
558	184956	66292
559	185141	65908
560	185330	65527
561	185498	65139
562	185683	64757
563	185934	64400
564	186171	64037
565	186351	63656
566	186527	63274
567	186708	62894
568	186907	62521
569	187067	62136
570	187248	61759
571	187420	61379
572	187590	60999
573	187802	60634
574	187994	60262
575	188175	59888
576	188372	59520
577	188541	59143
578	188730	58774
579	188906	58401
580	189102	58034
581	189281	57664
582	189566	57326
583	189846	56986
584	190075	56632
585	190262	56265
586	190445	55898
587	190645	55537
588	190817	55168
589	190992	54800
590	191205	54444
591	191389	54081
592	191567	53716
593	191770	53359
594	191946	52995
595	192136	52635
596	192333	52278
597	192518	51918
598	192712	51561
599	192903	51204
600	193085	50845
601	193292	50494
602	193478	50137
603	193673	49783
604	193872	49431
605	194095	49085
606	194285	48731
607	194489	48382
608	194682	48030
609	194940	47694
610	195120	47340
611	195304	46988
612	195531	46646
613	195717	46295
614	195950	45955
615	196151	45609
616	196329	45257
617	196549	44916
618	196751	44571
619	196939	44223
620	197152	43882
621	197331	43533
622	197577	43200
623	197778	42857
624	197950	42508
625	198148	42166
626	198335	41821
627	198555	41484
628	198775	41147
629	198984	40809
630	199244	40481
631	199435	40139
632	199759	39825
633	199948	39484
634	200214	39158
635	200446	38826
636	200729	38504
637	200981	38177
638	201206	37844
639	201418	37509
640	201635	37176
641	201853	36843
642	202036	36505
643	202258	36173
644	202483	35843
645	202737	35518
646	202945	35185
647	203154	34853
648	203378	34524
649	203564	34188
650	203780	33858
651	203977	33526
652	204164	33192
653	204358	32860
654	204571	32531
655	204838	32211
656	205116	31893
657	205326	31564
658	205556	31239
659	205760	30910
660	205965	30582
661	206186	30257
662	206427	29935
663	206652	29610
664	206884	29287
665	207077	28959
666	207265	28631
667	207461	28304
668	207718	27985
669	207911	27659
670	208123	27335
671	208337	27012
672	208554	26689
673	208771	26367
674	208954	26041
675	209202	25724
676	209425	25403
677	209614	25079
678	209814	24756
679	209999	24432
680	210279	24120
681	210548	23806
682	210836	23494
683	211068	23177
684	211276	22857
685	211456	22534
686	211647	22213
687	211888	21898
688	212084	21578
689	212283	21259
690	212465	20938
691	212652	20618
692	212861	20301
693	213042	19982
694	213227	19663
695	213418	19345
696	213615	19028
697	213822	18713
698	214020	18397
699	214239	18083
700	214444	17768
701	214600	17449
702	214764	17132
703	214954	16817
704	215163	16504
705	215336	16188
706	215541	15875
707	215735	15562
708	215918	15248
709	216125	14936
710	216321	14624
711	216515	14312
712	216710	14000
713	216894	13689
714	217118	13379
715	217308	13068
716	217701	12770
717	217958	12463
718	218211	12156
719	218394	11846
720	218562	11535
721	218769	11226
722	218950	10917
723	219125	10607
724	219330	10300
725	219520	9991
726	219717	9684
727	219905	9376
728	220098	9069
729	220304	8763
730	220484	8456
731	220695	8151
732	220881	7845
733	220990	7537
734	221134	7230
735	221325	6925
736	221507	6621
737	221713	6317
738	221911	6013
739	222115	5710
740	222298	5407
741	222501	5104
742	222695	4802
743	222905	4500
744	223101	4198
745	223280	3896
746	223475	3594
747	223714	3294
748	223936	2993
749	224156	2693
750	224349	2393
751	224567	2093
752	224789	1793
753	225012	1494
754	225255	1194
755	225435	895
756	225700	597
757	225910	298
758	226149	0
