iter	AUC	Logloss
0	0.6438032293	0.6765323887
1	0.674773904	0.6604824486
2	0.6813995958	0.6459821829
3	0.686215118	0.6321041172
4	0.6817406565	0.6202910685
5	0.6822475452	0.6084996044
6	0.6810572416	0.5977902516
7	0.6808553521	0.5873348122
8	0.6842865153	0.5774366614
9	0.6852371887	0.5685804953
10	0.6864612479	0.5605095903
11	0.6881072735	0.5522249078
12	0.6892754046	0.5448566153
13	0.691385726	0.5379573308
14	0.6935602453	0.531180493
15	0.6950417863	0.5253445242
16	0.6962314363	0.5196373805
17	0.6968804011	0.5139958453
18	0.6968277773	0.5088729502
